mu,mu_0,mu_1,mu_2,sigma,sigma_0,sigma_1,sigma_2
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[0. 0. 0.],[-1000. -1000.],[-1000. -1000.],[-1000. -1000.],[0 0 0 0 0 0 0 0 0],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[9.99819658e-03 8.96778099e-05 5.35676140e-03],[346.32594257 136.40435467],[-1000. -1000.],[-1000. -1000.],"[ 4.99783654e-02 -8.48220384e-06  1.79123322e-05 -8.48220384e-06
  4.99965634e-02 -4.55462467e-05  1.79123322e-05 -4.55462467e-05
  2.50962727e-02]",[ 13.46166924 -33.92881536 -33.92881536  86.25349934],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.0152554  -0.00165329  0.01015438],[346.32797849 136.41307528],[-1000. -1000.],[-1000. -1000.],"[ 8.55339711e-02 -5.69875230e-03  2.91012404e-05 -5.69875230e-03
  9.77550537e-02 -3.45687352e-05  2.91012404e-05 -3.45687352e-05
  3.02460090e-02]",[ 13.43822523 -33.90967102 -33.90967102  86.1835351 ],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.01592604 -0.00516133  0.01531759],[346.32918114 136.41685115],[-1000. -1000.],[-1000. -1000.],"[ 1.06669212e-01 -1.70706303e-02  4.17495596e-05 -1.70706303e-02
  1.43274469e-01 -7.80206038e-05  4.17495596e-05 -7.80206038e-05
  3.10966845e-02]",[ 13.43521763 -33.90673683 -33.90673683  86.17253569],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.01252698 -0.01020918  0.02240512],[346.32985244 136.41841646],[-1000. -1000.],[-1000. -1000.],"[ 1.19566113e-01 -3.16884308e-02  6.32953777e-05 -3.16884308e-02
  1.87513504e-01 -1.51017310e-04  6.32953777e-05 -1.51017310e-04
  3.12444472e-02]",[ 13.43482738 -33.90633716 -33.90633716  86.17080923],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.00450122 -0.01697773  0.03331646],[346.33019206 136.41915479],[-1000. -1000.],[-1000. -1000.],"[ 1.28756116e-01 -4.77665971e-02  9.21158601e-05 -4.77665971e-02
  2.31175333e-01 -2.35355182e-04  9.21158601e-05 -2.35355182e-04
  3.12747781e-02]",[ 13.43478071 -33.90628271 -33.90628271  86.17051173],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.01007183 -0.02616082  0.05072143],[346.3303043  136.41968919],[-1000. -1000.],[-1000. -1000.],"[ 1.36436033e-01 -6.44395827e-02  1.25010844e-04 -6.44395827e-02
  2.74600817e-01 -3.23628315e-04  1.25010844e-04 -3.23628315e-04
  3.12826266e-02]",[ 13.43477565 -33.90627218 -33.90627218  86.17044394],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.03480576 -0.03907986  0.07874734],[346.33023435 136.4203069 ],[-1000. -1000.],[-1000. -1000.],"[ 1.43524725e-01 -8.13454174e-02  1.59679268e-04 -8.13454174e-02
  3.17932468e-01 -4.13117168e-04  1.59679268e-04 -4.13117168e-04
  3.12851536e-02]",[ 13.43477427 -33.90626655 -33.90626655  86.17041738],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.07577144 -0.05795942  0.12398729],[346.32998732 136.42118062],[-1000. -1000.],[-1000. -1000.],"[ 1.50385541e-01 -9.83409436e-02  1.94696211e-04 -9.83409436e-02
  3.61226626e-01 -5.02835978e-04  1.94696211e-04 -5.02835978e-04
  3.12861134e-02]",[ 13.43477273 -33.90626144 -33.90626144  86.17040037],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.07767622 -0.09557916 -3.85716844],[346.3282957  136.42542685],[-1000. -1000.],[-1000. -1000.],"[ 1.57159030e-01 -1.15370652e-01  2.29078861e-04 -1.15370652e-01
  4.04505145e-01 -5.92459654e-04  2.29078861e-04 -5.92459654e-04
  3.12865238e-02]",[ 13.4347711  -33.9062568  -33.9062568   86.17038721],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-1.42208613 -0.62709997 -1.53266268],[346.27654676 136.55773223],[-1000. -1000.],[-1000. -1000.],"[ 1.63914847e-01 -1.32431802e-01  2.88752125e-04 -1.32431802e-01
  4.47781355e-01 -8.58585551e-04  2.88752125e-04 -8.58585551e-04
  3.12871067e-02]",[ 13.43470749 -33.90609414 -33.90609414  86.16997122],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.49421347 -0.27116223 -4.60385489],[346.49937541 135.99169945],[-1000. -1000.],[-1000. -1000.],"[ 1.70769080e-01 -1.49596793e-01  4.64015129e-04 -1.49596793e-01
  4.90959621e-01 -9.43013651e-04  4.64015129e-04 -9.43013651e-04
  3.12852611e-02]",[ 13.432524   -33.90054756 -33.90054756  86.1558816 ],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-1.40745778 -0.61949932 -2.00924361],[347.14996214 134.33991884],[-1000. -1000.],[-1000. -1000.],"[ 1.77119495e-01 -1.66247502e-01  2.43909985e-04 -1.66247502e-01
  5.34601989e-01 -1.08201925e-03  2.43909985e-04 -1.08201925e-03
  3.12868539e-02]",[ 13.41029166 -33.8441018  -33.8441018   86.01257127],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.22193621 -0.21650617 -5.06724825],[344.11088224 142.05623473],[-1000. -1000.],[-1000. -1000.],"[ 1.83573719e-01 -1.81296141e-01 -2.18182057e-04 -1.81296141e-01
  5.79420125e-01 -1.44788232e-03 -2.18182057e-04 -1.44788232e-03
  3.12807807e-02]",[ 13.13227479 -33.13820843 -33.13820843  84.22028631],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.71213982 -0.51128615 -2.58520114],[339.43309849 153.93335082],[-1000. -1000.],[-1000. -1000.],"[ 1.98847241e-01 -2.01607038e-01  1.44347521e-03 -2.01607038e-01
  6.17518846e-01 -3.98060288e-04  1.44347521e-03 -3.98060288e-04
  3.11775847e-02]",[ 10.06678609 -25.35478589 -25.35478589  64.45780396],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.31506747 -0.07812248 -5.8475174 ],[351.35249376 123.66945529],[-1000. -1000.],[-1000. -1000.],"[ 2.42733831e-01 -2.08067181e-01  2.38543307e-03 -2.08067181e-01
  6.60751888e-01  3.42936392e-04  2.38543307e-03  3.42936392e-04
  3.10274021e-02]",[  5.07254422 -12.67417502 -12.67417502  32.26114705],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.50449234 -0.14315174 -3.25278591],[352.46457634 120.84582716],[-1000. -1000.],[-1000. -1000.],"[ 2.03238519e-01 -2.30927533e-01 -2.41543336e-04 -2.30927533e-01
  7.04909036e-01 -2.66388202e-04 -2.41543336e-04 -2.66388202e-04
  3.09607347e-02]",[ 2.16524862 -5.29241984 -5.29241984 13.51853639],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-1.96979269 -0.56738589 -0.45869463],[356.33386921 111.02151695],[-1000. -1000.],[-1000. -1000.],"[ 2.17669322e-01 -2.41345155e-01 -7.17434992e-04 -2.41345155e-01
  7.51864546e-01 -6.88587144e-04 -7.17434992e-04 -6.88587144e-04
  3.09583972e-02]",[ 1.91181974 -4.64895241 -4.64895241 11.8847434 ],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-1.76923977 -0.54186108 -2.6077339 ],[355.70074251 112.62905451],[-1000. -1000.],[-1000. -1000.],"[ 2.41942374e-01 -2.46688267e-01 -1.16910580e-03 -2.46688267e-01
  8.00747102e-01 -7.59156627e-04 -1.16910580e-03 -7.59156627e-04
  3.09517046e-02]",[ 1.65144265 -3.9878431  -3.9878431  10.20615668],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.37955571 -0.12416276 -4.94412217],[354.778767   114.96999234],[-1000. -1000.],[-1000. -1000.],"[ 0.2542683  -0.2580256  -0.00126951 -0.2580256   0.84734671 -0.00106436
 -0.00126951 -0.00106436  0.03095349]",[ 1.6354356  -3.94720047 -3.94720047 10.1029632 ],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-1.15597936 -0.39071073 -2.00636694],[354.67660705 115.22938117],[-1000. -1000.],[-1000. -1000.],"[ 0.25758154 -0.27395172 -0.0012937  -0.27395172  0.89190734 -0.0010613
 -0.0012937  -0.0010613   0.03095401]",[ 1.63471146 -3.94536186 -3.94536186 10.09829489],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 4.57619172e-02  4.34741143e-03 -4.85125834e+00],[354.78571553 114.95234972],[-1000. -1000.],[-1000. -1000.],"[ 0.26127317 -0.28945427 -0.00114566 -0.28945427  0.93672819 -0.00122622
 -0.00114566 -0.00122622  0.03095451]",[ 1.63433411 -3.94440375 -3.94440375 10.09586219],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.77208014 -0.26231869 -2.18734318],[354.79207755 114.93619627],[-1000. -1000.],[-1000. -1000.],"[ 0.26616283 -0.30405968 -0.0012087  -0.30405968  0.98199184 -0.00126347
 -0.0012087  -0.00126347  0.03095486]",[ 1.63432993 -3.94439312 -3.94439312 10.09583521],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.51944882  0.15171399 -5.26929087],[354.78743284 114.94798939],[-1000. -1000.],[-1000. -1000.],"[ 0.27096032 -0.31870464 -0.00108639 -0.31870464  1.02726381 -0.00145133
 -0.00108639 -0.00145133  0.03095527]",[ 1.63432929 -3.9443915  -3.9443915  10.09583109],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.04920988 -0.04250645 -2.91457522],[354.78648118 114.95040572],[-1000. -1000.],[-1000. -1000.],"[ 0.27572912 -0.33336091 -0.00114526 -0.33336091  1.07249827 -0.0014373
 -0.00114526 -0.0014373   0.03095544]",[ 1.63432925 -3.9443914  -3.9443914  10.09583084],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 1.66932603  0.51969259 -6.46471026],[354.79040042 114.94045457],[-1000. -1000.],[-1000. -1000.],"[ 2.80454816e-01 -3.48048750e-01 -1.04562027e-03 -3.48048750e-01
  1.11775895e+00 -1.67979776e-03 -1.04562027e-03 -1.67979776e-03
  3.09560255e-02]",[ 1.63432903 -3.94439086 -3.94439086 10.09582946],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 1.8030829   0.53618904 -4.85789674],[354.78790429 114.94679237],[-1000. -1000.],[-1000. -1000.],"[ 2.85214760e-01 -3.62708761e-01 -1.03997277e-03 -3.62708761e-01
  1.16298502e+00 -1.62387987e-03 -1.03997277e-03 -1.62387987e-03
  3.09561407e-02]",[ 1.634329   -3.94439078 -3.94439078 10.09582927],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.99245397  0.2590226  -3.3282079 ],[354.78482569 114.95460907],[-1000. -1000.],[-1000. -1000.],"[ 2.89944430e-01 -3.77389711e-01 -1.06485741e-03 -3.77389711e-01
  1.20821173e+00 -1.73843434e-03 -1.06485741e-03 -1.73843434e-03
  3.09564573e-02]",[ 1.63432874 -3.94439012 -3.94439012 10.09582758],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.73801664 -0.29760901 -1.25970373],[354.7775775  114.97301255],[-1000. -1000.],[-1000. -1000.],"[ 2.94649097e-01 -3.92108137e-01 -9.71608862e-04 -3.92108137e-01
  1.25345755e+00 -1.98092556e-03 -9.71608862e-04 -1.98092556e-03
  3.09570043e-02]",[ 1.63432778 -3.94438766 -3.94438766 10.09582135],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.01843139 -0.0659279  -4.36075089],[354.78401232 114.95667426],[-1000. -1000.],[-1000. -1000.],"[ 2.99348104e-01 -4.06856679e-01 -8.82984564e-04 -4.06856679e-01
  1.29865560e+00 -2.01116483e-03 -8.82984564e-04 -2.01116483e-03
  3.09566541e-02]",[ 1.63432613 -3.94438348 -3.94438348 10.09581074],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-1.09455958 -0.42241076 -1.66378489],[354.7852931  114.95342228],[-1000. -1000.],[-1000. -1000.],"[ 3.04115177e-01 -4.21500778e-01 -9.29807032e-04 -4.21500778e-01
  1.34391621e+00 -2.12865892e-03 -9.29807032e-04 -2.12865892e-03
  3.09569526e-02]",[ 1.63432607 -3.94438333 -3.94438333 10.09581035],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.10495873 -0.11236608 -4.52829789],[354.78745461 114.94793411],[-1000. -1000.],[-1000. -1000.],"[ 3.08859613e-01 -4.36196626e-01 -8.11910497e-04 -4.36196626e-01
  1.38915937e+00 -2.23818991e-03 -8.11910497e-04 -2.23818991e-03
  3.09569824e-02]",[ 1.634326   -3.94438316 -3.94438316 10.09580991],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-1.11754291 -0.43750515 -1.75084563],[354.78849492 114.94529273],[-1000. -1000.],[-1000. -1000.],"[ 3.13629993e-01 -4.50833446e-01 -8.65892333e-04 -4.50833446e-01
  1.43441762e+00 -2.32331475e-03 -8.65892333e-04 -2.32331475e-03
  3.09572998e-02]",[ 1.63432588 -3.94438285 -3.94438285 10.09580914],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.07763616 -0.11021969 -4.59820995],[354.79045462 114.94031696],[-1000. -1000.],[-1000. -1000.],"[ 3.18375977e-01 -4.65532410e-01 -7.44885946e-04 -4.65532410e-01
  1.47966396e+00 -2.44906937e-03 -7.44885946e-04 -2.44906937e-03
  3.09574276e-02]",[ 1.63432581 -3.94438268 -3.94438268 10.0958087 ],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.87287677 -0.36562698 -1.73818026],[354.79096158 114.93902976],[-1000. -1000.],[-1000. -1000.],"[ 3.23144393e-01 -4.80166848e-01 -8.00687937e-04 -4.80166848e-01
  1.52492019e+00 -2.52359184e-03 -8.00687937e-04 -2.52359184e-03
  3.09577458e-02]",[ 1.6343257  -3.94438239 -3.94438239 10.09580795],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.33523625  0.01584609 -4.64317525],[354.79325946 114.93319534],[-1000. -1000.],[-1000. -1000.],"[ 3.27889721e-01 -4.94872632e-01 -6.79217695e-04 -4.94872632e-01
  1.57016377e+00 -2.65261885e-03 -6.79217695e-04 -2.65261885e-03
  3.09579268e-02]",[ 1.6343256  -3.94438212 -3.94438212 10.09580729],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[-0.43257348 -0.23232471 -2.0499588 ],[354.79332642 114.93302532],[-1000. -1000.],[-1000. -1000.],"[ 3.32655936e-01 -5.09504501e-01 -7.35987695e-04 -5.09504501e-01
  1.61541876e+00 -2.72591832e-03 -7.35987695e-04 -2.72591832e-03
  3.09582957e-02]",[ 1.63432548 -3.94438184 -3.94438184 10.09580656],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.95543384  0.21248805 -5.23781806],[354.79601094 114.92620921],[-1000. -1000.],[-1000. -1000.],"[ 3.37402181e-01 -5.24216124e-01 -6.12427170e-04 -5.24216124e-01
  1.66067472e+00 -2.89028959e-03 -6.12427170e-04 -2.89028959e-03
  3.09586272e-02]",[ 1.63432536 -3.94438153 -3.94438153 10.09580577],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 0.54399246  0.06865884 -3.05058903],[354.79514673 114.92840348],[-1000. -1000.],[-1000. -1000.],"[ 3.42167474e-01 -5.38843309e-01 -6.73556842e-04 -5.38843309e-01
  1.70590408e+00 -2.88618861e-03 -6.73556842e-04 -2.88618861e-03
  3.09588464e-02]",[ 1.63432523 -3.9443812  -3.9443812  10.09580493],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
[ 2.51820545  0.71616445 -6.87094895],[354.79856985 114.91971202],[-1000. -1000.],[-1000. -1000.],"[ 3.46912676e-01 -5.53551138e-01 -5.80538923e-04 -5.53551138e-01
  1.75118208e+00 -3.12853391e-03 -5.80538923e-04 -3.12853391e-03
  3.09594620e-02]",[ 1.63432509 -3.94438085 -3.94438085 10.09580405],[-1000.     0. -1000.     0.],[-1000.     0. -1000.     0.]
